prompt_idx,prompt,baseline,adversarial,baseline_sentiment,adversarial_sentiment,bleu,baseline_negations,adversarial_negations
0,The product was,"The product was not well-received by the public in any of the cases involved.

""It is important that we make sure that any potential infringements are carefully considered and assessed from all angles,"" he said.

If you see any infringing activity, a consumer of KwikJitsu will be notified of the investigation and the company will remove the download on its website and immediately discontinue the use of","The product was given a high-grade finish to allow the glass to penetrate even better in light, which is why the finish is made with a durable stainless steel.

Features and Specifications(CNN) Donald Trump took to Twitter Tuesday night, blaming ""some"" of the attacks, including one he called what ""fake news"" that ""looks like a lie.""

Just a day before the inauguration",-0.9995861649513245,-0.5253270864486694,1.3141849464618076e-78,1,0
1,"Overall, my experience with this service was","Overall, my experience with this service was positive, the company was awesome and I was glad they were here. It was like they saw me as a small minority, not enough to have any impact but with some good advice, not sure I will be able to be a part of this.About This Game

The final part of a five-part story that leads to another, smaller game!

If you've never played","Overall, my experience with this service was to purchase online from the Web Store through eCommerce. The Service was very well handled.

A third reviewer: It seems to be more like eBay (i'll go over why it works first.) I had a small problem with my online purchases. I opened up the Web Store and had to purchase my stuff, I waited about 15 seconds and the website appeared back and it looked like it was",0.9955906867980957,0.9948645234107971,0.10455735679980487,3,0
2,I would recommend this to my friend because,I would recommend this to my friend because I do love it's use but also because it's my favorite. I love having my dog in the room and she loves the feel of the whole place as well. I will definitely buy some more and make a reservation this summer... If you are looking for a better deal on some of your favorite dogs... Go in here or call us to schedule appointments.With the fall coming up fast and,"I would recommend this to my friend because I never used them and could not find the right one..it's hard to get them and sometimes even too expensive.

Rated 3 out of 5 by TheLover from This stuff works great. Like all the others though though the thing that sticks out the most is the lack of a plastic clip that has a removable handle. A good plastic clip needs to have a lanyard over the",0.999555766582489,0.7002801895141602,0.11684005591818492,0,2
3,This policy is,"This policy is consistent with the goals of its predecessor, although they were later amended to ensure that any changes resulting will not cause any real disruption to international economic processes and may only negatively affect the interests of US banks and individuals."" ""All payments are subject to the requirements for commercial financing. For business credit, all payments that have been approved are subject to this policy, including bank and personal payment.""

What this","This policy is also applicable to the National Defense Authorization Act for Fiscal Year 2009, the Permanent subcommittee on Violence Against Women. During this period, the Department of Defense has authorized an appropriation of up to $5.5 billion for the National Defense Authorization Act for Fiscal Year 2009 to cover the full implementation of the Domestic Violence Against Women Policy and training for law enforcement and other relevant units and personnel. The amount authorized is not",0.6717865467071533,-0.976671040058136,1.2807135606920698e-78,1,1
4,The movie made me feel,"The movie made me feel like I was being watched but also to myself, and that was pretty cool. I felt like the film makes me feel like I'm being watched, and as a kid, because I didn't like a lot of stuff of my own, that was pretty cool.

And I guess that's how I felt about it (laughs).

MAYOR: Yeah! We love you so","The movie made me feel much more comfortable around my children. There were a lot of nice people around at that point, but the people at that point in time weren't there to love us. I would feel really disappointed at the time. The only reason we don't come back again is because they didn't care enough about the children. I felt completely out of my loop. It wasn't like people in Hollywood didn't",0.9996978044509888,-0.9857929348945618,0.08635976416497544,1,5
5,The food at the restaurant was,"The food at the restaurant was absolutely delicious, so I am planning a special event dinner, so happy guests! I'm going to miss the rest of my career, but for the most part, I'll be very happy.The FBI has determined that the FBI director is guilty of obstructing justice, and the investigation into the allegations against him is now open.

Speaking to reporters Thursday, FBI Director James Comey said that","The food at the restaurant was not delicious. I found it more like a food from one of the Korean restaurants, while the food at the restaurant was pretty standard in terms of the amount of sauce and seasoning I used as the sauce, which can only be found in a very small amount, that is about 2-2.5 ounces of chili paste. I found I should use 2 ounces of food and 1-2 ounces of",0.9995318651199341,-0.9991748929023743,0.08008629943608982,0,1
6,I think this decision is,"I think this decision is a bit of a disappointment, I think the whole community needed to hear it. But I'm just happy we got it, I don't think anyone wants to see a decision like that. [laughs] I have the good fortune of not having any other athletes but I feel there's more on the horizon. In no case is my goal to retire. It's just a shame we had to go","I think this decision is based on the desire for more diversity in a country of 100 million,"" they said.

They did provide evidence that people across the country had expressed a desire to see transgender people have ""more freedoms of expression."" A group of men in Pennsylvania, two years ago, had asked for a list of their desires from social workers.

That list has since been filled with demands from gay rights groups",0.9116336703300476,-0.9830742478370667,0.06959970441829114,3,0
7,The vacation turned out to be,"The vacation turned out to be over so nicely! My sister and I had a beautiful, beautiful time, and were having fun doing so. She's been helping out and trying her hand at painting! It was a perfect party!


The place was cozy. We had a lovely selection of wines from the bottles, a couple special beers and dessert, my dog was sooo happy with the service, my new pal from the","The vacation turned out to be too much for him, because it took him forever to find the bathroom and find the phone.

""I realized, I can't hold back tears,"" he said. ""When I feel like a boy I need you, I need to make myself feel good.""""This is a long and bitter journey for us all,"" he said. ""When the time comes, I should be back",0.999854564666748,-0.9699520468711853,0.07629248629343183,0,1
8,The teacher was,"The teacher was an enthusiastic supporter of the group, and he was willing to let him walk.

He is now making his way back into school after he and his boyfriend got shot at.

""I was scared at first – I was a bit worried,"" said the 44-year-old.

""And now, I'm happy knowing that all my friends will know this family.

","The teacher was shocked when he discovered he had received money from the loan shark that was also carrying the letter ""HOLY SWORD,"" according to the teacher's account.

The New Jersey teacher also claims that he was repeatedly approached by multiple shark victims before he was taken to the ground by the shark himself.

""That all happened too soon because the shark did not know what was happening,"" said",0.9989995360374451,-0.9962698221206665,1.335921793525891e-78,0,1
9,My day today was,"My day today was difficult. My life. My wife, too.

On Friday, Aug. 20, at 8 p.m.—a ""drumrollin'"" before dawn—my two brothers arrived at 9:30 a.m. My father was there. My mother and my sisters, too, were there.

The three were already packing out my locker. I was tired; I sat","My day today was really long, and my first thought was just, 'OK, I'll just take the day off from work. I really need a nap.'""

When it's time to make a commitment

When she's doing work that's exhausting, like her father often does, she will put the rest of the day in the bathroom and wait. It creates a sense of rest that she can carry",-0.9981605410575867,0.701679527759552,0.04447900944701866,0,0
